run,type,module,name,attrname,attrvalue,value
General-132-20230714-10:03:34-3356,runattr,,,configname,General,
General-132-20230714-10:03:34-3356,runattr,,,datetime,20230714-10:03:34,
General-132-20230714-10:03:34-3356,runattr,,,datetimef,20230714-100334,
General-132-20230714-10:03:34-3356,runattr,,,experiment,General,
General-132-20230714-10:03:34-3356,runattr,,,inifile,omnetpp.ini,
General-132-20230714-10:03:34-3356,runattr,,,iterationvars,"$0=0.1, $1=0.5",
General-132-20230714-10:03:34-3356,runattr,,,iterationvarsd,0.1/0.5,
General-132-20230714-10:03:34-3356,runattr,,,iterationvarsf,"0.1,0.5-",
General-132-20230714-10:03:34-3356,runattr,,,measurement,"$0=0.1, $1=0.5",
General-132-20230714-10:03:34-3356,runattr,,,network,Network,
General-132-20230714-10:03:34-3356,runattr,,,processid,3356,
General-132-20230714-10:03:34-3356,runattr,,,repetition,12,
General-132-20230714-10:03:34-3356,runattr,,,replication,#12,
General-132-20230714-10:03:34-3356,runattr,,,resultdir,results,
General-132-20230714-10:03:34-3356,runattr,,,runnumber,132,
General-132-20230714-10:03:34-3356,runattr,,,seedset,132,
General-132-20230714-10:03:34-3356,config,,,sim-time-limit,5000s,
General-132-20230714-10:03:34-3356,config,,,network,Network,
General-132-20230714-10:03:34-3356,config,,,config-recording,all,
General-132-20230714-10:03:34-3356,config,,,repeat,20,
General-132-20230714-10:03:34-3356,config,,,**.scalar-recording,true,
General-132-20230714-10:03:34-3356,config,,,warmup-period,1000s,
General-132-20230714-10:03:34-3356,config,,,**.S1.interArrivalTime,exponential(0.1s),
General-132-20230714-10:03:34-3356,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-132-20230714-10:03:34-3356,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-132-20230714-10:03:34-3356,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-132-20230714-10:03:34-3356,config,,,**.first.Threshold,10,
General-132-20230714-10:03:34-3356,config,,,**.second.Threshold,3,
General-132-20230714-10:03:34-3356,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-132-20230714-10:03:34-3356,config,,,**.servente.fetchingAlgorithm,"""threshold""",
