run,type,module,name,attrname,attrvalue,value
General-83-20230714-10:07:04-9956,runattr,,,configname,General,
General-83-20230714-10:07:04-9956,runattr,,,datetime,20230714-10:07:04,
General-83-20230714-10:07:04-9956,runattr,,,datetimef,20230714-100704,
General-83-20230714-10:07:04-9956,runattr,,,experiment,General,
General-83-20230714-10:07:04-9956,runattr,,,inifile,omnetpp.ini,
General-83-20230714-10:07:04-9956,runattr,,,iterationvars,"$0=0.25, $1=0.5",
General-83-20230714-10:07:04-9956,runattr,,,iterationvarsd,0.25/0.5,
General-83-20230714-10:07:04-9956,runattr,,,iterationvarsf,"0.25,0.5-",
General-83-20230714-10:07:04-9956,runattr,,,measurement,"$0=0.25, $1=0.5",
General-83-20230714-10:07:04-9956,runattr,,,network,Network,
General-83-20230714-10:07:04-9956,runattr,,,processid,9956,
General-83-20230714-10:07:04-9956,runattr,,,repetition,3,
General-83-20230714-10:07:04-9956,runattr,,,replication,#3,
General-83-20230714-10:07:04-9956,runattr,,,resultdir,results,
General-83-20230714-10:07:04-9956,runattr,,,runnumber,83,
General-83-20230714-10:07:04-9956,runattr,,,seedset,83,
General-83-20230714-10:07:04-9956,config,,,sim-time-limit,5000s,
General-83-20230714-10:07:04-9956,config,,,network,Network,
General-83-20230714-10:07:04-9956,config,,,config-recording,all,
General-83-20230714-10:07:04-9956,config,,,repeat,20,
General-83-20230714-10:07:04-9956,config,,,**.scalar-recording,true,
General-83-20230714-10:07:04-9956,config,,,**.S1.interArrivalTime,exponential(0.25s),
General-83-20230714-10:07:04-9956,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-83-20230714-10:07:04-9956,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-83-20230714-10:07:04-9956,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-83-20230714-10:07:04-9956,config,,,**.first.Threshold,10,
General-83-20230714-10:07:04-9956,config,,,**.second.Threshold,3,
General-83-20230714-10:07:04-9956,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-83-20230714-10:07:04-9956,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-83-20230714-10:07:04-9956,config,,,**.first.capacity,10,
General-83-20230714-10:07:04-9956,config,,,**.second.capacity,-1,
General-92-20230714-10:07:04-14984,runattr,,,configname,General,
General-92-20230714-10:07:04-14984,runattr,,,datetime,20230714-10:07:04,
General-92-20230714-10:07:04-14984,runattr,,,datetimef,20230714-100704,
General-92-20230714-10:07:04-14984,runattr,,,experiment,General,
General-92-20230714-10:07:04-14984,runattr,,,inifile,omnetpp.ini,
General-92-20230714-10:07:04-14984,runattr,,,iterationvars,"$0=0.25, $1=0.5",
General-92-20230714-10:07:04-14984,runattr,,,iterationvarsd,0.25/0.5,
General-92-20230714-10:07:04-14984,runattr,,,iterationvarsf,"0.25,0.5-",
General-92-20230714-10:07:04-14984,runattr,,,measurement,"$0=0.25, $1=0.5",
General-92-20230714-10:07:04-14984,runattr,,,network,Network,
General-92-20230714-10:07:04-14984,runattr,,,processid,14984,
General-92-20230714-10:07:04-14984,runattr,,,repetition,12,
General-92-20230714-10:07:04-14984,runattr,,,replication,#12,
General-92-20230714-10:07:04-14984,runattr,,,resultdir,results,
General-92-20230714-10:07:04-14984,runattr,,,runnumber,92,
General-92-20230714-10:07:04-14984,runattr,,,seedset,92,
General-92-20230714-10:07:04-14984,config,,,sim-time-limit,5000s,
