run,type,module,name,attrname,attrvalue,value
General-78-20230714-10:03:31-15760,runattr,,,configname,General,
General-78-20230714-10:03:31-15760,runattr,,,datetime,20230714-10:03:31,
General-78-20230714-10:03:31-15760,runattr,,,datetimef,20230714-100331,
General-78-20230714-10:03:31-15760,runattr,,,experiment,General,
General-78-20230714-10:03:31-15760,runattr,,,inifile,omnetpp.ini,
General-78-20230714-10:03:31-15760,runattr,,,iterationvars,"$0=0.5, $1=1",
General-78-20230714-10:03:31-15760,runattr,,,iterationvarsd,0.5/1,
General-78-20230714-10:03:31-15760,runattr,,,iterationvarsf,"0.5,1-",
General-78-20230714-10:03:31-15760,runattr,,,measurement,"$0=0.5, $1=1",
General-78-20230714-10:03:31-15760,runattr,,,network,Network,
General-78-20230714-10:03:31-15760,runattr,,,processid,15760,
General-78-20230714-10:03:31-15760,runattr,,,repetition,18,
General-78-20230714-10:03:31-15760,runattr,,,replication,#18,
General-78-20230714-10:03:31-15760,runattr,,,resultdir,results,
General-78-20230714-10:03:31-15760,runattr,,,runnumber,78,
General-78-20230714-10:03:31-15760,runattr,,,seedset,78,
General-78-20230714-10:03:31-15760,config,,,sim-time-limit,5000s,
General-78-20230714-10:03:31-15760,config,,,network,Network,
General-78-20230714-10:03:31-15760,config,,,config-recording,all,
General-78-20230714-10:03:31-15760,config,,,repeat,20,
General-78-20230714-10:03:31-15760,config,,,**.scalar-recording,true,
General-78-20230714-10:03:31-15760,config,,,warmup-period,1000s,
General-78-20230714-10:03:31-15760,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-78-20230714-10:03:31-15760,config,,,**.S2.interArrivalTime,exponential(1s),
General-78-20230714-10:03:31-15760,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-78-20230714-10:03:31-15760,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-78-20230714-10:03:31-15760,config,,,**.first.Threshold,10,
General-78-20230714-10:03:31-15760,config,,,**.second.Threshold,3,
General-78-20230714-10:03:31-15760,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-78-20230714-10:03:31-15760,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-78-20230714-10:03:31-15760,config,,,**.first.capacity,10,
General-78-20230714-10:03:31-15760,config,,,**.second.capacity,-1,
General-61-20230714-10:03:30-8032,runattr,,,configname,General,
General-61-20230714-10:03:30-8032,runattr,,,datetime,20230714-10:03:30,
General-61-20230714-10:03:30-8032,runattr,,,datetimef,20230714-100330,
General-61-20230714-10:03:30-8032,runattr,,,experiment,General,
General-61-20230714-10:03:30-8032,runattr,,,inifile,omnetpp.ini,
General-61-20230714-10:03:30-8032,runattr,,,iterationvars,"$0=0.5, $1=1",
General-61-20230714-10:03:30-8032,runattr,,,iterationvarsd,0.5/1,
General-61-20230714-10:03:30-8032,runattr,,,iterationvarsf,"0.5,1-",
General-61-20230714-10:03:30-8032,runattr,,,measurement,"$0=0.5, $1=1",
General-61-20230714-10:03:30-8032,runattr,,,network,Network,
General-61-20230714-10:03:30-8032,runattr,,,processid,8032,
General-61-20230714-10:03:30-8032,runattr,,,repetition,1,
General-61-20230714-10:03:30-8032,runattr,,,replication,#1,
General-61-20230714-10:03:30-8032,runattr,,,resultdir,results,
General-61-20230714-10:03:30-8032,runattr,,,runnumber,61,
General-61-20230714-10:03:30-8032,runattr,,,seedset,61,
General-61-20230714-10:03:30-8032,config,,,sim-time-limit,5000s,
General-61-20230714-10:03:30-8032,config,,,network,Network,
General-61-20230714-10:03:30-8032,config,,,config-recording,all,
General-61-20230714-10:03:30-8032,config,,,repeat,20,
General-61-20230714-10:03:30-8032,config,,,**.scalar-recording,true,
General-61-20230714-10:03:30-8032,config,,,warmup-period,1000s,
