run,type,module,name,attrname,attrvalue,value
General-21-20230714-10:07:00-2244,runattr,,,configname,General,
General-21-20230714-10:07:00-2244,runattr,,,datetime,20230714-10:07:00,
General-21-20230714-10:07:00-2244,runattr,,,datetimef,20230714-100700,
General-21-20230714-10:07:00-2244,runattr,,,experiment,General,
General-21-20230714-10:07:00-2244,runattr,,,inifile,omnetpp.ini,
General-21-20230714-10:07:00-2244,runattr,,,iterationvars,"$0=1.0, $1=1",
General-21-20230714-10:07:00-2244,runattr,,,iterationvarsd,1.0/1,
General-21-20230714-10:07:00-2244,runattr,,,iterationvarsf,"1.0,1-",
General-21-20230714-10:07:00-2244,runattr,,,measurement,"$0=1.0, $1=1",
General-21-20230714-10:07:00-2244,runattr,,,network,Network,
General-21-20230714-10:07:00-2244,runattr,,,processid,2244,
General-21-20230714-10:07:00-2244,runattr,,,repetition,1,
General-21-20230714-10:07:00-2244,runattr,,,replication,#1,
General-21-20230714-10:07:00-2244,runattr,,,resultdir,results,
General-21-20230714-10:07:00-2244,runattr,,,runnumber,21,
General-21-20230714-10:07:00-2244,runattr,,,seedset,21,
General-21-20230714-10:07:00-2244,config,,,sim-time-limit,5000s,
General-21-20230714-10:07:00-2244,config,,,network,Network,
General-21-20230714-10:07:00-2244,config,,,config-recording,all,
General-21-20230714-10:07:00-2244,config,,,repeat,20,
General-21-20230714-10:07:00-2244,config,,,**.scalar-recording,true,
General-21-20230714-10:07:00-2244,config,,,**.S1.interArrivalTime,exponential(1.0s),
General-21-20230714-10:07:00-2244,config,,,**.S2.interArrivalTime,exponential(1s),
General-21-20230714-10:07:00-2244,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-21-20230714-10:07:00-2244,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-21-20230714-10:07:00-2244,config,,,**.first.Threshold,10,
General-21-20230714-10:07:00-2244,config,,,**.second.Threshold,3,
General-21-20230714-10:07:00-2244,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-21-20230714-10:07:00-2244,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-21-20230714-10:07:00-2244,config,,,**.first.capacity,10,
General-21-20230714-10:07:00-2244,config,,,**.second.capacity,-1,
General-20-20230714-10:07:00-6700,runattr,,,configname,General,
General-20-20230714-10:07:00-6700,runattr,,,datetime,20230714-10:07:00,
General-20-20230714-10:07:00-6700,runattr,,,datetimef,20230714-100700,
General-20-20230714-10:07:00-6700,runattr,,,experiment,General,
General-20-20230714-10:07:00-6700,runattr,,,inifile,omnetpp.ini,
General-20-20230714-10:07:00-6700,runattr,,,iterationvars,"$0=1.0, $1=1",
General-20-20230714-10:07:00-6700,runattr,,,iterationvarsd,1.0/1,
General-20-20230714-10:07:00-6700,runattr,,,iterationvarsf,"1.0,1-",
General-20-20230714-10:07:00-6700,runattr,,,measurement,"$0=1.0, $1=1",
General-20-20230714-10:07:00-6700,runattr,,,network,Network,
General-20-20230714-10:07:00-6700,runattr,,,processid,6700,
General-20-20230714-10:07:00-6700,runattr,,,repetition,0,
General-20-20230714-10:07:00-6700,runattr,,,replication,#0,
General-20-20230714-10:07:00-6700,runattr,,,resultdir,results,
General-20-20230714-10:07:00-6700,runattr,,,runnumber,20,
General-20-20230714-10:07:00-6700,runattr,,,seedset,20,
General-20-20230714-10:07:00-6700,config,,,sim-time-limit,5000s,
General-20-20230714-10:07:00-6700,config,,,network,Network,
General-20-20230714-10:07:00-6700,config,,,config-recording,all,
General-20-20230714-10:07:00-6700,config,,,repeat,20,
General-20-20230714-10:07:00-6700,config,,,**.scalar-recording,true,
General-20-20230714-10:07:00-6700,config,,,**.S1.interArrivalTime,exponential(1.0s),
General-20-20230714-10:07:00-6700,config,,,**.S2.interArrivalTime,exponential(1s),
General-20-20230714-10:07:00-6700,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-20-20230714-10:07:00-6700,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-20-20230714-10:07:00-6700,config,,,**.first.Threshold,10,
General-20-20230714-10:07:00-6700,config,,,**.second.Threshold,3,
General-20-20230714-10:07:00-6700,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-20-20230714-10:07:00-6700,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-20-20230714-10:07:00-6700,config,,,**.first.capacity,10,
General-20-20230714-10:07:00-6700,config,,,**.second.capacity,-1,
General-32-20230714-10:07:01-7480,runattr,,,configname,General,
General-32-20230714-10:07:01-7480,runattr,,,datetime,20230714-10:07:01,
General-32-20230714-10:07:01-7480,runattr,,,datetimef,20230714-100701,
General-32-20230714-10:07:01-7480,runattr,,,experiment,General,
General-32-20230714-10:07:01-7480,runattr,,,inifile,omnetpp.ini,
General-32-20230714-10:07:01-7480,runattr,,,iterationvars,"$0=1.0, $1=1",
General-32-20230714-10:07:01-7480,runattr,,,iterationvarsd,1.0/1,
General-32-20230714-10:07:01-7480,runattr,,,iterationvarsf,"1.0,1-",
General-32-20230714-10:07:01-7480,runattr,,,measurement,"$0=1.0, $1=1",
General-32-20230714-10:07:01-7480,runattr,,,network,Network,
General-32-20230714-10:07:01-7480,runattr,,,processid,7480,
General-32-20230714-10:07:01-7480,runattr,,,repetition,12,
General-32-20230714-10:07:01-7480,runattr,,,replication,#12,
General-32-20230714-10:07:01-7480,runattr,,,resultdir,results,
General-32-20230714-10:07:01-7480,runattr,,,runnumber,32,
General-32-20230714-10:07:01-7480,runattr,,,seedset,32,
General-32-20230714-10:07:01-7480,config,,,sim-time-limit,5000s,
General-32-20230714-10:07:01-7480,config,,,network,Network,
General-32-20230714-10:07:01-7480,config,,,config-recording,all,
General-32-20230714-10:07:01-7480,config,,,repeat,20,
General-32-20230714-10:07:01-7480,config,,,**.scalar-recording,true,
General-32-20230714-10:07:01-7480,config,,,**.S1.interArrivalTime,exponential(1.0s),
General-32-20230714-10:07:01-7480,config,,,**.S2.interArrivalTime,exponential(1s),
General-32-20230714-10:07:01-7480,config,,,**.servente.serviceTime,"uniform(0.11s,0.55s)",
General-32-20230714-10:07:01-7480,config,,,**.servente.serviceTime_2,"uniform(0.1s,0.4s)",
General-32-20230714-10:07:01-7480,config,,,**.first.Threshold,10,
General-32-20230714-10:07:01-7480,config,,,**.second.Threshold,3,
General-32-20230714-10:07:01-7480,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-32-20230714-10:07:01-7480,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-32-20230714-10:07:01-7480,config,,,**.first.capacity,10,
General-32-20230714-10:07:01-7480,config,,,**.second.capacity,-1,
General-31-20230714-10:07:01-13724,runattr,,,configname,General,
General-31-20230714-10:07:01-13724,runattr,,,datetime,20230714-10:07:01,
General-31-20230714-10:07:01-13724,runattr,,,datetimef,20230714-100701,
General-31-20230714-10:07:01-13724,runattr,,,experiment,General,
General-31-20230714-10:07:01-13724,runattr,,,inifile,omnetpp.ini,
General-31-20230714-10:07:01-13724,runattr,,,iterationvars,"$0=1.0, $1=1",
General-31-20230714-10:07:01-13724,runattr,,,iterationvarsd,1.0/1,
General-31-20230714-10:07:01-13724,runattr,,,iterationvarsf,"1.0,1-",
General-31-20230714-10:07:01-13724,runattr,,,measurement,"$0=1.0, $1=1",
General-31-20230714-10:07:01-13724,runattr,,,network,Network,
General-31-20230714-10:07:01-13724,runattr,,,processid,13724,
General-31-20230714-10:07:01-13724,runattr,,,repetition,11,
General-31-20230714-10:07:01-13724,runattr,,,replication,#11,
General-31-20230714-10:07:01-13724,runattr,,,resultdir,results,
General-31-20230714-10:07:01-13724,runattr,,,runnumber,31,
General-31-20230714-10:07:01-13724,runattr,,,seedset,31,
