run,type,module,name,attrname,attrvalue,value
General-5-20230414-17:11:17-2620,runattr,,,configname,General,
General-5-20230414-17:11:17-2620,runattr,,,datetime,20230414-17:11:17,
General-5-20230414-17:11:17-2620,runattr,,,datetimef,20230414-171117,
General-5-20230414-17:11:17-2620,runattr,,,experiment,General,
General-5-20230414-17:11:17-2620,runattr,,,inifile,omnetpp.ini,
General-5-20230414-17:11:17-2620,runattr,,,iterationvars,,
General-5-20230414-17:11:17-2620,runattr,,,iterationvarsd,,
General-5-20230414-17:11:17-2620,runattr,,,iterationvarsf,,
General-5-20230414-17:11:17-2620,runattr,,,measurement,,
General-5-20230414-17:11:17-2620,runattr,,,network,Network,
General-5-20230414-17:11:17-2620,runattr,,,processid,2620,
General-5-20230414-17:11:17-2620,runattr,,,repetition,5,
General-5-20230414-17:11:17-2620,runattr,,,replication,#5,
General-5-20230414-17:11:17-2620,runattr,,,resultdir,results,
General-5-20230414-17:11:17-2620,runattr,,,runnumber,5,
General-5-20230414-17:11:17-2620,runattr,,,seedset,5,
General-5-20230414-17:11:17-2620,config,,,sim-time-limit,1000s,
General-5-20230414-17:11:17-2620,config,,,network,Network,
General-5-20230414-17:11:17-2620,config,,,config-recording,all,
General-5-20230414-17:11:17-2620,config,,,repeat,20,
General-5-20230414-17:11:17-2620,config,,,**.scalar-recording,true,
General-5-20230414-17:11:17-2620,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-5-20230414-17:11:17-2620,config,,,**.S2.interArrivalTime,exponential(0.33s),
General-5-20230414-17:11:17-2620,config,,,**.servente.serviceTime,exponential(100.0s),
General-5-20230414-17:11:17-2620,config,,,**.servente.serviceTime_2,exponential(0.25s),
General-5-20230414-17:11:17-2620,config,,,**.servente.switchOverTime,exponential(0.2s),
General-5-20230414-17:11:17-2620,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-5-20230414-17:11:17-2620,config,,,**.first.capacity,10,
General-5-20230414-17:11:17-2620,config,,,**.second.capacity,-1,
General-5-20230414-17:11:17-2620,config,,,**.first.Threshold,10,
General-5-20230414-17:11:17-2620,config,,,**.second.Threshold,3,
General-11-20230414-17:11:17-7804,runattr,,,configname,General,
General-11-20230414-17:11:17-7804,runattr,,,datetime,20230414-17:11:17,
General-11-20230414-17:11:17-7804,runattr,,,datetimef,20230414-171117,
General-11-20230414-17:11:17-7804,runattr,,,experiment,General,
General-11-20230414-17:11:17-7804,runattr,,,inifile,omnetpp.ini,
General-11-20230414-17:11:17-7804,runattr,,,iterationvars,,
General-11-20230414-17:11:17-7804,runattr,,,iterationvarsd,,
General-11-20230414-17:11:17-7804,runattr,,,iterationvarsf,,
General-11-20230414-17:11:17-7804,runattr,,,measurement,,
General-11-20230414-17:11:17-7804,runattr,,,network,Network,
General-11-20230414-17:11:17-7804,runattr,,,processid,7804,
General-11-20230414-17:11:17-7804,runattr,,,repetition,11,
General-11-20230414-17:11:17-7804,runattr,,,replication,#11,
General-11-20230414-17:11:17-7804,runattr,,,resultdir,results,
General-11-20230414-17:11:17-7804,runattr,,,runnumber,11,
General-11-20230414-17:11:17-7804,runattr,,,seedset,11,
General-11-20230414-17:11:17-7804,config,,,sim-time-limit,1000s,
General-11-20230414-17:11:17-7804,config,,,network,Network,
General-11-20230414-17:11:17-7804,config,,,config-recording,all,
General-11-20230414-17:11:17-7804,config,,,repeat,20,
General-11-20230414-17:11:17-7804,config,,,**.scalar-recording,true,
General-11-20230414-17:11:17-7804,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-11-20230414-17:11:17-7804,config,,,**.S2.interArrivalTime,exponential(0.33s),
General-11-20230414-17:11:17-7804,config,,,**.servente.serviceTime,exponential(100.0s),
General-11-20230414-17:11:17-7804,config,,,**.servente.serviceTime_2,exponential(0.25s),
General-11-20230414-17:11:17-7804,config,,,**.servente.switchOverTime,exponential(0.2s),
General-11-20230414-17:11:17-7804,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-11-20230414-17:11:17-7804,config,,,**.first.capacity,10,
General-11-20230414-17:11:17-7804,config,,,**.second.capacity,-1,
General-11-20230414-17:11:17-7804,config,,,**.first.Threshold,10,
General-11-20230414-17:11:17-7804,config,,,**.second.Threshold,3,
General-10-20230414-17:11:17-7044,runattr,,,configname,General,
General-10-20230414-17:11:17-7044,runattr,,,datetime,20230414-17:11:17,
General-10-20230414-17:11:17-7044,runattr,,,datetimef,20230414-171117,
General-10-20230414-17:11:17-7044,runattr,,,experiment,General,
General-10-20230414-17:11:17-7044,runattr,,,inifile,omnetpp.ini,
General-10-20230414-17:11:17-7044,runattr,,,iterationvars,,
General-10-20230414-17:11:17-7044,runattr,,,iterationvarsd,,
General-10-20230414-17:11:17-7044,runattr,,,iterationvarsf,,
General-10-20230414-17:11:17-7044,runattr,,,measurement,,
General-10-20230414-17:11:17-7044,runattr,,,network,Network,
General-10-20230414-17:11:17-7044,runattr,,,processid,7044,
General-10-20230414-17:11:17-7044,runattr,,,repetition,10,
General-10-20230414-17:11:17-7044,runattr,,,replication,#10,
General-10-20230414-17:11:17-7044,runattr,,,resultdir,results,
General-10-20230414-17:11:17-7044,runattr,,,runnumber,10,
General-10-20230414-17:11:17-7044,runattr,,,seedset,10,
General-10-20230414-17:11:17-7044,config,,,sim-time-limit,1000s,
General-10-20230414-17:11:17-7044,config,,,network,Network,
General-10-20230414-17:11:17-7044,config,,,config-recording,all,
General-10-20230414-17:11:17-7044,config,,,repeat,20,
General-10-20230414-17:11:17-7044,config,,,**.scalar-recording,true,
General-10-20230414-17:11:17-7044,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-10-20230414-17:11:17-7044,config,,,**.S2.interArrivalTime,exponential(0.33s),
General-10-20230414-17:11:17-7044,config,,,**.servente.serviceTime,exponential(100.0s),
General-10-20230414-17:11:17-7044,config,,,**.servente.serviceTime_2,exponential(0.25s),
General-10-20230414-17:11:17-7044,config,,,**.servente.switchOverTime,exponential(0.2s),
General-10-20230414-17:11:17-7044,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-10-20230414-17:11:17-7044,config,,,**.first.capacity,10,
General-10-20230414-17:11:17-7044,config,,,**.second.capacity,-1,
General-10-20230414-17:11:17-7044,config,,,**.first.Threshold,10,
General-10-20230414-17:11:17-7044,config,,,**.second.Threshold,3,
General-0-20230414-17:11:17-13828,runattr,,,configname,General,
General-0-20230414-17:11:17-13828,runattr,,,datetime,20230414-17:11:17,
General-0-20230414-17:11:17-13828,runattr,,,datetimef,20230414-171117,
General-0-20230414-17:11:17-13828,runattr,,,experiment,General,
General-0-20230414-17:11:17-13828,runattr,,,inifile,omnetpp.ini,
General-0-20230414-17:11:17-13828,runattr,,,iterationvars,,
General-0-20230414-17:11:17-13828,runattr,,,iterationvarsd,,
General-0-20230414-17:11:17-13828,runattr,,,iterationvarsf,,
General-0-20230414-17:11:17-13828,runattr,,,measurement,,
General-0-20230414-17:11:17-13828,runattr,,,network,Network,
General-0-20230414-17:11:17-13828,runattr,,,processid,13828,
General-0-20230414-17:11:17-13828,runattr,,,repetition,0,
General-0-20230414-17:11:17-13828,runattr,,,replication,#0,
General-0-20230414-17:11:17-13828,runattr,,,resultdir,results,
General-0-20230414-17:11:17-13828,runattr,,,runnumber,0,
General-0-20230414-17:11:17-13828,runattr,,,seedset,0,
General-0-20230414-17:11:17-13828,config,,,sim-time-limit,1000s,
General-0-20230414-17:11:17-13828,config,,,network,Network,
General-0-20230414-17:11:17-13828,config,,,config-recording,all,
General-0-20230414-17:11:17-13828,config,,,repeat,20,
General-0-20230414-17:11:17-13828,config,,,**.scalar-recording,true,
General-0-20230414-17:11:17-13828,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-0-20230414-17:11:17-13828,config,,,**.S2.interArrivalTime,exponential(0.33s),
General-0-20230414-17:11:17-13828,config,,,**.servente.serviceTime,exponential(100.0s),
General-0-20230414-17:11:17-13828,config,,,**.servente.serviceTime_2,exponential(0.25s),
General-0-20230414-17:11:17-13828,config,,,**.servente.switchOverTime,exponential(0.2s),
General-0-20230414-17:11:17-13828,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-0-20230414-17:11:17-13828,config,,,**.first.capacity,10,
General-0-20230414-17:11:17-13828,config,,,**.second.capacity,-1,
General-0-20230414-17:11:17-13828,config,,,**.first.Threshold,10,
General-0-20230414-17:11:17-13828,config,,,**.second.Threshold,3,
General-1-20230414-17:11:17-3920,runattr,,,configname,General,
General-1-20230414-17:11:17-3920,runattr,,,datetime,20230414-17:11:17,
General-1-20230414-17:11:17-3920,runattr,,,datetimef,20230414-171117,
General-1-20230414-17:11:17-3920,runattr,,,experiment,General,
General-1-20230414-17:11:17-3920,runattr,,,inifile,omnetpp.ini,
General-1-20230414-17:11:17-3920,runattr,,,iterationvars,,
General-1-20230414-17:11:17-3920,runattr,,,iterationvarsd,,
General-1-20230414-17:11:17-3920,runattr,,,iterationvarsf,,
General-1-20230414-17:11:17-3920,runattr,,,measurement,,
General-1-20230414-17:11:17-3920,runattr,,,network,Network,
General-1-20230414-17:11:17-3920,runattr,,,processid,3920,
General-1-20230414-17:11:17-3920,runattr,,,repetition,1,
General-1-20230414-17:11:17-3920,runattr,,,replication,#1,
General-1-20230414-17:11:17-3920,runattr,,,resultdir,results,
General-1-20230414-17:11:17-3920,runattr,,,runnumber,1,
General-1-20230414-17:11:17-3920,runattr,,,seedset,1,
General-1-20230414-17:11:17-3920,config,,,sim-time-limit,1000s,
General-1-20230414-17:11:17-3920,config,,,network,Network,
General-1-20230414-17:11:17-3920,config,,,config-recording,all,
General-1-20230414-17:11:17-3920,config,,,repeat,20,
General-1-20230414-17:11:17-3920,config,,,**.scalar-recording,true,
General-1-20230414-17:11:17-3920,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-1-20230414-17:11:17-3920,config,,,**.S2.interArrivalTime,exponential(0.33s),
General-1-20230414-17:11:17-3920,config,,,**.servente.serviceTime,exponential(100.0s),
General-1-20230414-17:11:17-3920,config,,,**.servente.serviceTime_2,exponential(0.25s),
General-1-20230414-17:11:17-3920,config,,,**.servente.switchOverTime,exponential(0.2s),
General-1-20230414-17:11:17-3920,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-1-20230414-17:11:17-3920,config,,,**.first.capacity,10,
General-1-20230414-17:11:17-3920,config,,,**.second.capacity,-1,
General-1-20230414-17:11:17-3920,config,,,**.first.Threshold,10,
General-1-20230414-17:11:17-3920,config,,,**.second.Threshold,3,
General-12-20230414-17:11:18-2308,runattr,,,configname,General,
General-12-20230414-17:11:18-2308,runattr,,,datetime,20230414-17:11:18,
General-12-20230414-17:11:18-2308,runattr,,,datetimef,20230414-171118,
General-12-20230414-17:11:18-2308,runattr,,,experiment,General,
General-12-20230414-17:11:18-2308,runattr,,,inifile,omnetpp.ini,
General-12-20230414-17:11:18-2308,runattr,,,iterationvars,,
General-12-20230414-17:11:18-2308,runattr,,,iterationvarsd,,
General-12-20230414-17:11:18-2308,runattr,,,iterationvarsf,,
General-12-20230414-17:11:18-2308,runattr,,,measurement,,
General-12-20230414-17:11:18-2308,runattr,,,network,Network,
General-12-20230414-17:11:18-2308,runattr,,,processid,2308,
General-12-20230414-17:11:18-2308,runattr,,,repetition,12,
General-12-20230414-17:11:18-2308,runattr,,,replication,#12,
General-12-20230414-17:11:18-2308,runattr,,,resultdir,results,
General-12-20230414-17:11:18-2308,runattr,,,runnumber,12,
General-12-20230414-17:11:18-2308,runattr,,,seedset,12,
General-12-20230414-17:11:18-2308,config,,,sim-time-limit,1000s,
General-12-20230414-17:11:18-2308,config,,,network,Network,
General-12-20230414-17:11:18-2308,config,,,config-recording,all,
General-12-20230414-17:11:18-2308,config,,,repeat,20,
General-12-20230414-17:11:18-2308,config,,,**.scalar-recording,true,
General-12-20230414-17:11:18-2308,config,,,**.S1.interArrivalTime,exponential(0.5s),
General-12-20230414-17:11:18-2308,config,,,**.S2.interArrivalTime,exponential(0.33s),
General-12-20230414-17:11:18-2308,config,,,**.servente.serviceTime,exponential(100.0s),
General-12-20230414-17:11:18-2308,config,,,**.servente.serviceTime_2,exponential(0.25s),
General-12-20230414-17:11:18-2308,config,,,**.servente.switchOverTime,exponential(0.2s),
General-12-20230414-17:11:18-2308,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-12-20230414-17:11:18-2308,config,,,**.first.capacity,10,
General-12-20230414-17:11:18-2308,config,,,**.second.capacity,-1,
General-12-20230414-17:11:18-2308,config,,,**.first.Threshold,10,
General-12-20230414-17:11:18-2308,config,,,**.second.Threshold,3,
General-14-20230414-17:11:18-14632,runattr,,,configname,General,
General-14-20230414-17:11:18-14632,runattr,,,datetime,20230414-17:11:18,
General-14-20230414-17:11:18-14632,runattr,,,datetimef,20230414-171118,
General-14-20230414-17:11:18-14632,runattr,,,experiment,General,
General-14-20230414-17:11:18-14632,runattr,,,inifile,omnetpp.ini,
General-14-20230414-17:11:18-14632,runattr,,,iterationvars,,
General-14-20230414-17:11:18-14632,runattr,,,iterationvarsd,,
General-14-20230414-17:11:18-14632,runattr,,,iterationvarsf,,
General-14-20230414-17:11:18-14632,runattr,,,measurement,,
General-14-20230414-17:11:18-14632,runattr,,,network,Network,
General-14-20230414-17:11:18-14632,runattr,,,processid,14632,
General-14-20230414-17:11:18-14632,runattr,,,repetition,14,
General-14-20230414-17:11:18-14632,runattr,,,replication,#14,
General-14-20230414-17:11:18-14632,runattr,,,resultdir,results,
General-14-20230414-17:11:18-14632,runattr,,,runnumber,14,
General-14-20230414-17:11:18-14632,runattr,,,seedset,14,
General-14-20230414-17:11:18-14632,config,,,sim-time-limit,1000s,
General-14-20230414-17:11:18-14632,config,,,network,Network,
General-14-20230414-17:11:18-14632,config,,,config-recording,all,
General-14-20230414-17:11:18-14632,config,,,repeat,20,
General-14-20230414-17:11:18-14632,config,,,**.scalar-recording,true,
