run,type,module,name,attrname,attrvalue,value
General-121-20230612-09:31:58-12420,runattr,,,configname,General,
General-121-20230612-09:31:58-12420,runattr,,,datetime,20230612-09:31:58,
General-121-20230612-09:31:58-12420,runattr,,,datetimef,20230612-093158,
General-121-20230612-09:31:58-12420,runattr,,,experiment,General,
General-121-20230612-09:31:58-12420,runattr,,,inifile,omnetpp.ini,
General-121-20230612-09:31:58-12420,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-121-20230612-09:31:58-12420,runattr,,,iterationvarsd,0.28/0.5,
General-121-20230612-09:31:58-12420,runattr,,,iterationvarsf,"0.28,0.5-",
General-121-20230612-09:31:58-12420,runattr,,,measurement,"$0=0.28, $1=0.5",
General-121-20230612-09:31:58-12420,runattr,,,network,Network,
General-121-20230612-09:31:58-12420,runattr,,,processid,12420,
General-121-20230612-09:31:58-12420,runattr,,,repetition,1,
General-121-20230612-09:31:58-12420,runattr,,,replication,#1,
General-121-20230612-09:31:58-12420,runattr,,,resultdir,results,
General-121-20230612-09:31:58-12420,runattr,,,runnumber,121,
General-121-20230612-09:31:58-12420,runattr,,,seedset,121,
General-121-20230612-09:31:58-12420,config,,,sim-time-limit,1000s,
General-121-20230612-09:31:58-12420,config,,,network,Network,
General-121-20230612-09:31:58-12420,config,,,config-recording,all,
General-121-20230612-09:31:58-12420,config,,,repeat,20,
General-121-20230612-09:31:58-12420,config,,,**.scalar-recording,true,
General-121-20230612-09:31:58-12420,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-121-20230612-09:31:58-12420,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-121-20230612-09:31:58-12420,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-121-20230612-09:31:58-12420,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-121-20230612-09:31:58-12420,config,,,**.first.Threshold,10,
General-121-20230612-09:31:58-12420,config,,,**.second.Threshold,3,
General-121-20230612-09:31:58-12420,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-121-20230612-09:31:58-12420,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-121-20230612-09:31:58-12420,config,,,**.first.capacity,10,
General-121-20230612-09:31:58-12420,config,,,**.second.capacity,-1,
General-132-20230612-09:31:59-11680,runattr,,,configname,General,
General-132-20230612-09:31:59-11680,runattr,,,datetime,20230612-09:31:59,
General-132-20230612-09:31:59-11680,runattr,,,datetimef,20230612-093159,
General-132-20230612-09:31:59-11680,runattr,,,experiment,General,
General-132-20230612-09:31:59-11680,runattr,,,inifile,omnetpp.ini,
General-132-20230612-09:31:59-11680,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-132-20230612-09:31:59-11680,runattr,,,iterationvarsd,0.28/0.5,
General-132-20230612-09:31:59-11680,runattr,,,iterationvarsf,"0.28,0.5-",
General-132-20230612-09:31:59-11680,runattr,,,measurement,"$0=0.28, $1=0.5",
General-132-20230612-09:31:59-11680,runattr,,,network,Network,
General-132-20230612-09:31:59-11680,runattr,,,processid,11680,
General-132-20230612-09:31:59-11680,runattr,,,repetition,12,
General-132-20230612-09:31:59-11680,runattr,,,replication,#12,
General-132-20230612-09:31:59-11680,runattr,,,resultdir,results,
General-132-20230612-09:31:59-11680,runattr,,,runnumber,132,
General-132-20230612-09:31:59-11680,runattr,,,seedset,132,
General-132-20230612-09:31:59-11680,config,,,sim-time-limit,1000s,
General-132-20230612-09:31:59-11680,config,,,network,Network,
General-132-20230612-09:31:59-11680,config,,,config-recording,all,
General-132-20230612-09:31:59-11680,config,,,repeat,20,
General-132-20230612-09:31:59-11680,config,,,**.scalar-recording,true,
General-132-20230612-09:31:59-11680,config,,,**.S1.interArrivalTime,exponential(0.28s),
General-132-20230612-09:31:59-11680,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-132-20230612-09:31:59-11680,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-132-20230612-09:31:59-11680,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-132-20230612-09:31:59-11680,config,,,**.first.Threshold,10,
General-132-20230612-09:31:59-11680,config,,,**.second.Threshold,3,
General-132-20230612-09:31:59-11680,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-132-20230612-09:31:59-11680,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-132-20230612-09:31:59-11680,config,,,**.first.capacity,10,
General-132-20230612-09:31:59-11680,config,,,**.second.capacity,-1,
General-133-20230612-09:31:59-488,runattr,,,configname,General,
General-133-20230612-09:31:59-488,runattr,,,datetime,20230612-09:31:59,
General-133-20230612-09:31:59-488,runattr,,,datetimef,20230612-093159,
General-133-20230612-09:31:59-488,runattr,,,experiment,General,
General-133-20230612-09:31:59-488,runattr,,,inifile,omnetpp.ini,
General-133-20230612-09:31:59-488,runattr,,,iterationvars,"$0=0.28, $1=0.5",
General-133-20230612-09:31:59-488,runattr,,,iterationvarsd,0.28/0.5,
General-133-20230612-09:31:59-488,runattr,,,iterationvarsf,"0.28,0.5-",
General-133-20230612-09:31:59-488,runattr,,,measurement,"$0=0.28, $1=0.5",
General-133-20230612-09:31:59-488,runattr,,,network,Network,
General-133-20230612-09:31:59-488,runattr,,,processid,488,
General-133-20230612-09:31:59-488,runattr,,,repetition,13,
General-133-20230612-09:31:59-488,runattr,,,replication,#13,
General-133-20230612-09:31:59-488,runattr,,,resultdir,results,
General-133-20230612-09:31:59-488,runattr,,,runnumber,133,
General-133-20230612-09:31:59-488,runattr,,,seedset,133,
General-133-20230612-09:31:59-488,config,,,sim-time-limit,1000s,
General-133-20230612-09:31:59-488,config,,,network,Network,
General-133-20230612-09:31:59-488,config,,,config-recording,all,
General-133-20230612-09:31:59-488,config,,,repeat,20,
General-133-20230612-09:31:59-488,config,,,**.scalar-recording,true,
General-133-20230612-09:31:59-488,config,,,**.S1.interArrivalTime,exponential(0.28s),
