run,type,module,name,attrname,attrvalue,value
General-150-20230413-11:09:33-6092,runattr,,,configname,General,
General-150-20230413-11:09:33-6092,runattr,,,datetime,20230413-11:09:33,
General-150-20230413-11:09:33-6092,runattr,,,datetimef,20230413-110933,
General-150-20230413-11:09:33-6092,runattr,,,experiment,General,
General-150-20230413-11:09:33-6092,runattr,,,inifile,omnetpp.ini,
General-150-20230413-11:09:33-6092,runattr,,,iterationvars,"$0=0.4, $1=0.28",
General-150-20230413-11:09:33-6092,runattr,,,iterationvarsd,0.4/0.28,
General-150-20230413-11:09:33-6092,runattr,,,iterationvarsf,"0.4,0.28-",
General-150-20230413-11:09:33-6092,runattr,,,measurement,"$0=0.4, $1=0.28",
General-150-20230413-11:09:33-6092,runattr,,,network,Network,
General-150-20230413-11:09:33-6092,runattr,,,processid,6092,
General-150-20230413-11:09:33-6092,runattr,,,repetition,10,
General-150-20230413-11:09:33-6092,runattr,,,replication,#10,
General-150-20230413-11:09:33-6092,runattr,,,resultdir,results,
General-150-20230413-11:09:33-6092,runattr,,,runnumber,150,
General-150-20230413-11:09:33-6092,runattr,,,seedset,150,
General-150-20230413-11:09:33-6092,config,,,sim-time-limit,1000s,
General-150-20230413-11:09:33-6092,config,,,network,Network,
General-150-20230413-11:09:33-6092,config,,,config-recording,all,
General-150-20230413-11:09:33-6092,config,,,repeat,20,
General-150-20230413-11:09:33-6092,config,,,**.scalar-recording,true,
General-150-20230413-11:09:33-6092,config,,,warmup-period,100s,
General-150-20230413-11:09:33-6092,config,,,**.S1.interArrivalTime,exponential(0.4s),
General-150-20230413-11:09:33-6092,config,,,**.S2.interArrivalTime,exponential(0.28s),
General-150-20230413-11:09:33-6092,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-150-20230413-11:09:33-6092,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-150-20230413-11:09:33-6092,config,,,**.first.Threshold,10,
General-150-20230413-11:09:33-6092,config,,,**.second.Threshold,3,
General-150-20230413-11:09:33-6092,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-150-20230413-11:09:33-6092,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-150-20230413-11:09:33-6092,config,,,**.first.capacity,10,
General-150-20230413-11:09:33-6092,config,,,**.second.capacity,-1,
General-140-20230413-11:09:32-14216,runattr,,,configname,General,
General-140-20230413-11:09:32-14216,runattr,,,datetime,20230413-11:09:32,
General-140-20230413-11:09:32-14216,runattr,,,datetimef,20230413-110932,
General-140-20230413-11:09:32-14216,runattr,,,experiment,General,
General-140-20230413-11:09:32-14216,runattr,,,inifile,omnetpp.ini,
General-140-20230413-11:09:32-14216,runattr,,,iterationvars,"$0=0.4, $1=0.28",
General-140-20230413-11:09:32-14216,runattr,,,iterationvarsd,0.4/0.28,
General-140-20230413-11:09:32-14216,runattr,,,iterationvarsf,"0.4,0.28-",
General-140-20230413-11:09:32-14216,runattr,,,measurement,"$0=0.4, $1=0.28",
General-140-20230413-11:09:32-14216,runattr,,,network,Network,
General-140-20230413-11:09:32-14216,runattr,,,processid,14216,
General-140-20230413-11:09:32-14216,runattr,,,repetition,0,
General-140-20230413-11:09:32-14216,runattr,,,replication,#0,
General-140-20230413-11:09:32-14216,runattr,,,resultdir,results,
General-140-20230413-11:09:32-14216,runattr,,,runnumber,140,
General-140-20230413-11:09:32-14216,runattr,,,seedset,140,
General-140-20230413-11:09:32-14216,config,,,sim-time-limit,1000s,
General-140-20230413-11:09:32-14216,config,,,network,Network,
General-140-20230413-11:09:32-14216,config,,,config-recording,all,
General-140-20230413-11:09:32-14216,config,,,repeat,20,
General-140-20230413-11:09:32-14216,config,,,**.scalar-recording,true,
General-140-20230413-11:09:32-14216,config,,,warmup-period,100s,
General-140-20230413-11:09:32-14216,config,,,**.S1.interArrivalTime,exponential(0.4s),
General-140-20230413-11:09:32-14216,config,,,**.S2.interArrivalTime,exponential(0.28s),
General-140-20230413-11:09:32-14216,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-140-20230413-11:09:32-14216,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-140-20230413-11:09:32-14216,config,,,**.first.Threshold,10,
General-140-20230413-11:09:32-14216,config,,,**.second.Threshold,3,
General-140-20230413-11:09:32-14216,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-140-20230413-11:09:32-14216,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-140-20230413-11:09:32-14216,config,,,**.first.capacity,10,
General-140-20230413-11:09:32-14216,config,,,**.second.capacity,-1,
General-101-20230413-11:09:28-15880,runattr,,,configname,General,
General-101-20230413-11:09:28-15880,runattr,,,datetime,20230413-11:09:28,
General-101-20230413-11:09:28-15880,runattr,,,datetimef,20230413-110928,
General-101-20230413-11:09:28-15880,runattr,,,experiment,General,
General-101-20230413-11:09:28-15880,runattr,,,inifile,omnetpp.ini,
General-101-20230413-11:09:28-15880,runattr,,,iterationvars,"$0=0.4, $1=0.5",
General-101-20230413-11:09:28-15880,runattr,,,iterationvarsd,0.4/0.5,
General-101-20230413-11:09:28-15880,runattr,,,iterationvarsf,"0.4,0.5-",
General-101-20230413-11:09:28-15880,runattr,,,measurement,"$0=0.4, $1=0.5",
General-101-20230413-11:09:28-15880,runattr,,,network,Network,
General-101-20230413-11:09:28-15880,runattr,,,processid,15880,
General-101-20230413-11:09:28-15880,runattr,,,repetition,1,
General-101-20230413-11:09:28-15880,runattr,,,replication,#1,
General-101-20230413-11:09:28-15880,runattr,,,resultdir,results,
General-101-20230413-11:09:28-15880,runattr,,,runnumber,101,
General-101-20230413-11:09:28-15880,runattr,,,seedset,101,
General-101-20230413-11:09:28-15880,config,,,sim-time-limit,1000s,
General-101-20230413-11:09:28-15880,config,,,network,Network,
General-101-20230413-11:09:28-15880,config,,,config-recording,all,
General-101-20230413-11:09:28-15880,config,,,repeat,20,
General-101-20230413-11:09:28-15880,config,,,**.scalar-recording,true,
General-101-20230413-11:09:28-15880,config,,,warmup-period,100s,
General-101-20230413-11:09:28-15880,config,,,**.S1.interArrivalTime,exponential(0.4s),
General-101-20230413-11:09:28-15880,config,,,**.S2.interArrivalTime,exponential(0.5s),
General-101-20230413-11:09:28-15880,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-101-20230413-11:09:28-15880,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-101-20230413-11:09:28-15880,config,,,**.first.Threshold,10,
General-101-20230413-11:09:28-15880,config,,,**.second.Threshold,3,
General-101-20230413-11:09:28-15880,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-101-20230413-11:09:28-15880,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-101-20230413-11:09:28-15880,config,,,**.first.capacity,10,
General-101-20230413-11:09:28-15880,config,,,**.second.capacity,-1,
General-109-20230413-11:09:29-2068,runattr,,,configname,General,
General-109-20230413-11:09:29-2068,runattr,,,datetime,20230413-11:09:29,
General-109-20230413-11:09:29-2068,runattr,,,datetimef,20230413-110929,
General-109-20230413-11:09:29-2068,runattr,,,experiment,General,
General-109-20230413-11:09:29-2068,runattr,,,inifile,omnetpp.ini,
General-109-20230413-11:09:29-2068,runattr,,,iterationvars,"$0=0.4, $1=0.5",
General-109-20230413-11:09:29-2068,runattr,,,iterationvarsd,0.4/0.5,
General-109-20230413-11:09:29-2068,runattr,,,iterationvarsf,"0.4,0.5-",
General-109-20230413-11:09:29-2068,runattr,,,measurement,"$0=0.4, $1=0.5",
General-109-20230413-11:09:29-2068,runattr,,,network,Network,
General-109-20230413-11:09:29-2068,runattr,,,processid,2068,
General-109-20230413-11:09:29-2068,runattr,,,repetition,9,
General-109-20230413-11:09:29-2068,runattr,,,replication,#9,
General-109-20230413-11:09:29-2068,runattr,,,resultdir,results,
General-109-20230413-11:09:29-2068,runattr,,,runnumber,109,
General-109-20230413-11:09:29-2068,runattr,,,seedset,109,
General-109-20230413-11:09:29-2068,config,,,sim-time-limit,1000s,
General-109-20230413-11:09:29-2068,config,,,network,Network,
General-109-20230413-11:09:29-2068,config,,,config-recording,all,
General-109-20230413-11:09:29-2068,config,,,repeat,20,
General-109-20230413-11:09:29-2068,config,,,**.scalar-recording,true,
General-109-20230413-11:09:29-2068,config,,,warmup-period,100s,
General-109-20230413-11:09:29-2068,config,,,**.S1.interArrivalTime,exponential(0.4s),
General-109-20230413-11:09:29-2068,config,,,**.S2.interArrivalTime,exponential(0.5s),
