run,type,module,name,attrname,attrvalue,value
General-151-20230412-13:59:55-12768,runattr,,,configname,General,
General-151-20230412-13:59:55-12768,runattr,,,datetime,20230412-13:59:55,
General-151-20230412-13:59:55-12768,runattr,,,datetimef,20230412-135955,
General-151-20230412-13:59:55-12768,runattr,,,experiment,General,
General-151-20230412-13:59:55-12768,runattr,,,inifile,omnetpp.ini,
General-151-20230412-13:59:55-12768,runattr,,,iterationvars,"$0=0.4, $1=0.28",
General-151-20230412-13:59:55-12768,runattr,,,iterationvarsd,0.4/0.28,
General-151-20230412-13:59:55-12768,runattr,,,iterationvarsf,"0.4,0.28-",
General-151-20230412-13:59:55-12768,runattr,,,measurement,"$0=0.4, $1=0.28",
General-151-20230412-13:59:55-12768,runattr,,,network,Network,
General-151-20230412-13:59:55-12768,runattr,,,processid,12768,
General-151-20230412-13:59:55-12768,runattr,,,repetition,11,
General-151-20230412-13:59:55-12768,runattr,,,replication,#11,
General-151-20230412-13:59:55-12768,runattr,,,resultdir,results,
General-151-20230412-13:59:55-12768,runattr,,,runnumber,151,
General-151-20230412-13:59:55-12768,runattr,,,seedset,151,
General-151-20230412-13:59:55-12768,config,,,sim-time-limit,1000s,
General-151-20230412-13:59:55-12768,config,,,network,Network,
General-151-20230412-13:59:55-12768,config,,,config-recording,all,
General-151-20230412-13:59:55-12768,config,,,repeat,20,
General-151-20230412-13:59:55-12768,config,,,**.scalar-recording,true,
General-151-20230412-13:59:55-12768,config,,,**.S1.interArrivalTime,exponential(0.4s),
General-151-20230412-13:59:55-12768,config,,,**.S2.interArrivalTime,exponential(0.28s),
General-151-20230412-13:59:55-12768,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-151-20230412-13:59:55-12768,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-151-20230412-13:59:55-12768,config,,,**.first.Threshold,10,
General-151-20230412-13:59:55-12768,config,,,**.second.Threshold,3,
General-151-20230412-13:59:55-12768,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-151-20230412-13:59:55-12768,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-151-20230412-13:59:55-12768,config,,,**.first.capacity,10,
General-151-20230412-13:59:55-12768,config,,,**.second.capacity,-1,
General-141-20230412-13:59:54-16812,runattr,,,configname,General,
General-141-20230412-13:59:54-16812,runattr,,,datetime,20230412-13:59:54,
General-141-20230412-13:59:54-16812,runattr,,,datetimef,20230412-135954,
General-141-20230412-13:59:54-16812,runattr,,,experiment,General,
General-141-20230412-13:59:54-16812,runattr,,,inifile,omnetpp.ini,
General-141-20230412-13:59:54-16812,runattr,,,iterationvars,"$0=0.4, $1=0.28",
General-141-20230412-13:59:54-16812,runattr,,,iterationvarsd,0.4/0.28,
General-141-20230412-13:59:54-16812,runattr,,,iterationvarsf,"0.4,0.28-",
General-141-20230412-13:59:54-16812,runattr,,,measurement,"$0=0.4, $1=0.28",
General-141-20230412-13:59:54-16812,runattr,,,network,Network,
General-141-20230412-13:59:54-16812,runattr,,,processid,16812,
General-141-20230412-13:59:54-16812,runattr,,,repetition,1,
General-141-20230412-13:59:54-16812,runattr,,,replication,#1,
General-141-20230412-13:59:54-16812,runattr,,,resultdir,results,
General-141-20230412-13:59:54-16812,runattr,,,runnumber,141,
General-141-20230412-13:59:54-16812,runattr,,,seedset,141,
General-141-20230412-13:59:54-16812,config,,,sim-time-limit,1000s,
General-141-20230412-13:59:54-16812,config,,,network,Network,
General-141-20230412-13:59:54-16812,config,,,config-recording,all,
General-141-20230412-13:59:54-16812,config,,,repeat,20,
General-141-20230412-13:59:54-16812,config,,,**.scalar-recording,true,
General-141-20230412-13:59:54-16812,config,,,**.S1.interArrivalTime,exponential(0.4s),
General-141-20230412-13:59:54-16812,config,,,**.S2.interArrivalTime,exponential(0.28s),
General-141-20230412-13:59:54-16812,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-141-20230412-13:59:54-16812,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-141-20230412-13:59:54-16812,config,,,**.first.Threshold,10,
General-141-20230412-13:59:54-16812,config,,,**.second.Threshold,3,
General-141-20230412-13:59:54-16812,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-141-20230412-13:59:54-16812,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-141-20230412-13:59:54-16812,config,,,**.first.capacity,10,
General-141-20230412-13:59:54-16812,config,,,**.second.capacity,-1,
General-153-20230412-13:59:55-1492,runattr,,,configname,General,
General-153-20230412-13:59:55-1492,runattr,,,datetime,20230412-13:59:55,
General-153-20230412-13:59:55-1492,runattr,,,datetimef,20230412-135955,
General-153-20230412-13:59:55-1492,runattr,,,experiment,General,
General-153-20230412-13:59:55-1492,runattr,,,inifile,omnetpp.ini,
General-153-20230412-13:59:55-1492,runattr,,,iterationvars,"$0=0.4, $1=0.28",
General-153-20230412-13:59:55-1492,runattr,,,iterationvarsd,0.4/0.28,
General-153-20230412-13:59:55-1492,runattr,,,iterationvarsf,"0.4,0.28-",
General-153-20230412-13:59:55-1492,runattr,,,measurement,"$0=0.4, $1=0.28",
General-153-20230412-13:59:55-1492,runattr,,,network,Network,
General-153-20230412-13:59:55-1492,runattr,,,processid,1492,
General-153-20230412-13:59:55-1492,runattr,,,repetition,13,
General-153-20230412-13:59:55-1492,runattr,,,replication,#13,
General-153-20230412-13:59:55-1492,runattr,,,resultdir,results,
General-153-20230412-13:59:55-1492,runattr,,,runnumber,153,
General-153-20230412-13:59:55-1492,runattr,,,seedset,153,
General-153-20230412-13:59:55-1492,config,,,sim-time-limit,1000s,
General-153-20230412-13:59:55-1492,config,,,network,Network,
General-153-20230412-13:59:55-1492,config,,,config-recording,all,
General-153-20230412-13:59:55-1492,config,,,repeat,20,
General-153-20230412-13:59:55-1492,config,,,**.scalar-recording,true,
General-153-20230412-13:59:55-1492,config,,,**.S1.interArrivalTime,exponential(0.4s),
General-153-20230412-13:59:55-1492,config,,,**.S2.interArrivalTime,exponential(0.28s),
General-153-20230412-13:59:55-1492,config,,,**.servente.serviceTime,"uniform(0.22s,0.44s)",
General-153-20230412-13:59:55-1492,config,,,**.servente.serviceTime_2,"uniform(0.2s,0.3s)",
General-153-20230412-13:59:55-1492,config,,,**.first.Threshold,10,
General-153-20230412-13:59:55-1492,config,,,**.second.Threshold,3,
General-153-20230412-13:59:55-1492,config,,,**.servente.switchOverTime,"uniform(0.1s,0.3s)",
General-153-20230412-13:59:55-1492,config,,,**.servente.fetchingAlgorithm,"""threshold""",
General-153-20230412-13:59:55-1492,config,,,**.first.capacity,10,
General-153-20230412-13:59:55-1492,config,,,**.second.capacity,-1,
General-140-20230412-13:59:54-10624,runattr,,,configname,General,
General-140-20230412-13:59:54-10624,runattr,,,datetime,20230412-13:59:54,
General-140-20230412-13:59:54-10624,runattr,,,datetimef,20230412-135954,
General-140-20230412-13:59:54-10624,runattr,,,experiment,General,
General-140-20230412-13:59:54-10624,runattr,,,inifile,omnetpp.ini,
General-140-20230412-13:59:54-10624,runattr,,,iterationvars,"$0=0.4, $1=0.28",
General-140-20230412-13:59:54-10624,runattr,,,iterationvarsd,0.4/0.28,
General-140-20230412-13:59:54-10624,runattr,,,iterationvarsf,"0.4,0.28-",
General-140-20230412-13:59:54-10624,runattr,,,measurement,"$0=0.4, $1=0.28",
General-140-20230412-13:59:54-10624,runattr,,,network,Network,
General-140-20230412-13:59:54-10624,runattr,,,processid,10624,
