run,type,module,name,attrname,attrvalue,value
General-1-20221027-10:37:26-16912,runattr,,,configname,General,
General-1-20221027-10:37:26-16912,runattr,,,datetime,20221027-10:37:26,
General-1-20221027-10:37:26-16912,runattr,,,datetimef,20221027-103726,
General-1-20221027-10:37:26-16912,runattr,,,experiment,General,
General-1-20221027-10:37:26-16912,runattr,,,inifile,simu_1.ini,
General-1-20221027-10:37:26-16912,runattr,,,iterationvars,,
General-1-20221027-10:37:26-16912,runattr,,,iterationvarsd,,
General-1-20221027-10:37:26-16912,runattr,,,iterationvarsf,,
General-1-20221027-10:37:26-16912,runattr,,,measurement,,
General-1-20221027-10:37:26-16912,runattr,,,network,Rete,
General-1-20221027-10:37:26-16912,runattr,,,processid,16912,
General-1-20221027-10:37:26-16912,runattr,,,repetition,1,
General-1-20221027-10:37:26-16912,runattr,,,replication,#1,
General-1-20221027-10:37:26-16912,runattr,,,resultdir,results,
General-1-20221027-10:37:26-16912,runattr,,,runnumber,1,
General-1-20221027-10:37:26-16912,runattr,,,seedset,1,
General-1-20221027-10:37:26-16912,config,,,network,Rete,
General-1-20221027-10:37:26-16912,config,,,record-eventlog,false,
General-1-20221027-10:37:26-16912,config,,,repeat,10,
General-1-20221027-10:37:26-16912,config,,,sim-time-limit,1000s,
General-1-20221027-10:37:26-16912,config,,,simtime-resolution,ps,
General-1-20221027-10:37:26-16912,config,,,**.Servente.serviceTime,exponential(1s),
General-1-20221027-10:37:26-16912,config,,,**.Arrivi.interArrivalTime,exponential(2s),
General-3-20221027-10:37:26-16912,runattr,,,configname,General,
General-3-20221027-10:37:26-16912,runattr,,,datetime,20221027-10:37:26,
General-3-20221027-10:37:26-16912,runattr,,,datetimef,20221027-103726,
General-3-20221027-10:37:26-16912,runattr,,,experiment,General,
General-3-20221027-10:37:26-16912,runattr,,,inifile,simu_1.ini,
General-3-20221027-10:37:26-16912,runattr,,,iterationvars,,
General-3-20221027-10:37:26-16912,runattr,,,iterationvarsd,,
General-3-20221027-10:37:26-16912,runattr,,,iterationvarsf,,
General-3-20221027-10:37:26-16912,runattr,,,measurement,,
General-3-20221027-10:37:26-16912,runattr,,,network,Rete,
General-3-20221027-10:37:26-16912,runattr,,,processid,16912,
General-3-20221027-10:37:26-16912,runattr,,,repetition,3,
General-3-20221027-10:37:26-16912,runattr,,,replication,#3,
General-3-20221027-10:37:26-16912,runattr,,,resultdir,results,
General-3-20221027-10:37:26-16912,runattr,,,runnumber,3,
General-3-20221027-10:37:26-16912,runattr,,,seedset,3,
General-3-20221027-10:37:26-16912,config,,,network,Rete,
General-3-20221027-10:37:26-16912,config,,,record-eventlog,false,
General-3-20221027-10:37:26-16912,config,,,repeat,10,
General-3-20221027-10:37:26-16912,config,,,sim-time-limit,1000s,
General-3-20221027-10:37:26-16912,config,,,simtime-resolution,ps,
General-3-20221027-10:37:26-16912,config,,,**.Servente.serviceTime,exponential(1s),
General-3-20221027-10:37:26-16912,config,,,**.Arrivi.interArrivalTime,exponential(2s),
General-6-20221027-10:37:26-16912,runattr,,,configname,General,
General-6-20221027-10:37:26-16912,runattr,,,datetime,20221027-10:37:26,
General-6-20221027-10:37:26-16912,runattr,,,datetimef,20221027-103726,
General-6-20221027-10:37:26-16912,runattr,,,experiment,General,
General-6-20221027-10:37:26-16912,runattr,,,inifile,simu_1.ini,
General-6-20221027-10:37:26-16912,runattr,,,iterationvars,,
General-6-20221027-10:37:26-16912,runattr,,,iterationvarsd,,
General-6-20221027-10:37:26-16912,runattr,,,iterationvarsf,,
General-6-20221027-10:37:26-16912,runattr,,,measurement,,
General-6-20221027-10:37:26-16912,runattr,,,network,Rete,
General-6-20221027-10:37:26-16912,runattr,,,processid,16912,
General-6-20221027-10:37:26-16912,runattr,,,repetition,6,
General-6-20221027-10:37:26-16912,runattr,,,replication,#6,
General-6-20221027-10:37:26-16912,runattr,,,resultdir,results,
General-6-20221027-10:37:26-16912,runattr,,,runnumber,6,
General-6-20221027-10:37:26-16912,runattr,,,seedset,6,
General-6-20221027-10:37:26-16912,config,,,network,Rete,
General-6-20221027-10:37:26-16912,config,,,record-eventlog,false,
General-6-20221027-10:37:26-16912,config,,,repeat,10,
General-6-20221027-10:37:26-16912,config,,,sim-time-limit,1000s,
General-6-20221027-10:37:26-16912,config,,,simtime-resolution,ps,
General-6-20221027-10:37:26-16912,config,,,**.Servente.serviceTime,exponential(1s),
General-6-20221027-10:37:26-16912,config,,,**.Arrivi.interArrivalTime,exponential(2s),
General-5-20221027-10:37:26-16912,runattr,,,configname,General,
